CATEGORY,ARTICLE,DESCRIPTION,DATE,SALES,YEAR,MONTH,QUARTER,MONTH_NAME,IS_HOLIDAY_SEASON
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-07-01,52.0,2022,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-07-01,52.0,2022,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-08-01,2.0,2022,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-08-01,2.0,2022,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-09-01,8.0,2022,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-09-01,8.0,2022,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-10-01,37.0,2022,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-10-01,37.0,2022,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-11-01,20.0,2022,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-11-01,20.0,2022,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-12-01,12.0,2022,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-12-01,12.0,2022,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-01-01,33.0,2023,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-01-01,33.0,2023,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-02-01,45.0,2023,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-02-01,45.0,2023,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-03-01,20.0,2023,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-03-01,20.0,2023,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-04-01,101.0,2023,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-04-01,101.0,2023,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-05-01,62.0,2023,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-05-01,62.0,2023,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-06-01,248.0,2023,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-06-01,248.0,2023,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-07-01,6.0,2023,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-07-01,6.0,2023,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-08-01,25.0,2023,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-08-01,25.0,2023,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-09-01,15.0,2023,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-09-01,15.0,2023,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-10-01,0.0,2023,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-10-01,0.0,2023,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-11-01,73.0,2023,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-11-01,73.0,2023,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2023-12-01,20.0,2023,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2023-12-01,20.0,2023,12,4,December,1
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-01-01,67.0,2018,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-01-01,221.0,2018,1,1,January,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-02-01,40.0,2018,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-02-01,225.0,2018,2,1,February,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-03-01,9.0,2018,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-03-01,71.0,2018,3,1,March,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-04-01,14.0,2018,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-04-01,46.0,2018,4,2,April,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-05-01,11.0,2018,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-05-01,20.0,2018,5,2,May,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-06-01,18.0,2018,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-06-01,35.0,2018,6,2,June,0
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2018-07-01,31.0,2018,7,3,July,0
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",2018-07-01,122.0,2018,7,3,July,0
